id,playername,seasonplayed,age,occupation,hometown,startingtribe,startingtribecolor,timesswapped,mergetribe,mergetribecolor,finalplacement,votescast,correctlyvoted,votesrecieved,votesnegated,tribeimmunities,individualimmunites,tribalsattended,playersonseason,advantagesplayed
637,Brendan Shapiro,Ghost Island,40,Physical Education Teacher,"Herndon, VA",Malolo,Orange,1,No Merge,N/A,17,3,2,5,0,1,0,3,20,0
638,Stephanie Johnson,Ghost Island,34,Yoga Instructor,"Chicago, IL",Malolo,Orange,1,No Merge,N/A,16,4,2,7,0,1,0,4,20,0
639,James Lim,Ghost Island,24,Business Analyst,"New York City, NY",Malolo,Orange,2,No Merge,N/A,15,4,3,6,0,2,0,4,20,0
640,Bradley Kleihege,Ghost Island,26,Law Student,"Los Angeles, CA",Naviti,Purple,2,No Merge,N/A,14,3,2,8,0,4,0,3,20,0
641,Chris Noble,Ghost Island,27,Male Model,"Brooklyn, NY",Naviti,Purple,2,Lavita,Black,13,0,0,10,0,6,0,1,20,0
642,Libby Vineck,Ghost Island,24,Social Media Strategist,"Houston, TX",Malolo,Orange,2,Lavita,Black,12,6,4,8,0,3,0,6,20,0
643,Desiree Afuye,Ghost Island,21,Student,"Brooklyn, NY",Naviti,Purple,2,Lavita,Black,11,6,4,10,0,4,0,6,20,0
644,Jenna Bowman,Ghost Island,23,Account Executive,"Venice Beach, CA",Malolo,Orange,2,Lavita,Black,10,8,5,3,0,3,0,8,20,0
645,Micheal Yerger,Ghost Island,18,Real Estate Agent,"Los Angeles, CA",Malolo,Orange,2,Lavita,Black,9,9,6,15,7,2,0,9,20,2
646,Chelsea Townsend,Ghost Island,25,EMT/Pro Cheerleader,"Los Angeles, CA",Naviti,Purple,2,Lavita,Black,8,8,6,5,0,4,2,8,20,0
647,Kellyn Bechtold,Ghost Island,30,Career Counselor,"Denver, CO",Naviti,Purple,2,Lavita,Black,7,11,7,8,0,4,1,9,20,1
648,Sebastian Noel,Ghost Island,22,Fishing Guide,"Satellite Beach, FL",Naviti,Purple,2,Lavita,Black,6,10,6,5,0,5,0,9,20,0
649,Donathan Hurley,Ghost Island,25,Caretaker,"Kimper, KY",Malolo,Orange,2,Lavita,Black,5,11,6,11,1,3,0,11,20,1
650,Angela Perkins,Ghost Island,42,Army Veteran,"Cincinatti, OH",Naviti,Purple,2,Lavita,Black,4,10,5,3,0,5,1,11,20,0
651,Laurel Johnson,Ghost Island,29,Financial Consultant,"Minneapolis, MN",Malolo,Orange,2,Lavita,Black,3,12,11,3,1,4,1,12,20,0
652,Domenick Abbate,Ghost Island,38,Construction Supervisor,"Nesconset, NY",Naviti,Purple,2,Lavita,Black,2,12,10,2,0,5,3,11,20,2
653,Wendell Holland,Ghost Island,33,Furniture Company Owner,"Philadelphia, PA",Naviti,Purple,2,Lavita,Black,1,11,9,5,0,6,2,10,20,1
654,Pat Cusack,David vs. Goliath,41,Maintenance Manager,"Watervliet, NY",Vuku,Orange,0,No Merge,N/A,20,0,0,0,0,0,0,0,20,0
655,Jessica Peet,David vs. Goliath,19,Waitress,"Lakeland, FL",Vuku,Orange,0,No Merge,N/A,19,1,0,5,0,0,0,1,20,0
656,Jeremy Crawford,David vs. Goliath,39,Attorney,"New York City, NY",Jabeni,Purple,0,No Merge,N/A,18,1,0,9,0,2,0,1,20,0
657,Bi Nguyen,David vs. Goliath,28,MMA Fighter,"Houston, TX",Vuku,Orange,0,No Merge,N/A,17,1,0,0,0,1,0,1,20,0
658,Natalia Azoqa,David vs. Goliath,25,Industrial Engineer,"Irvine, CA",Jabeni,Purple,1,No Merge,N/A,16,2,1,3,0,2,0,2,20,0
659,Natalie Cole,David vs. Goliath,57,Publishing CEO,"Los Angeles, CA",Jabeni,Purple,1,No Merge,N/A,15,2,1,4,0,3,0,2,20,0
660,Lyrsa Torres,David vs. Goliath,36,Airline Agent,"Boston, MA",Vuku,Orange,1,No Merge,N/A,14,3,2,9,0,2,0,3,20,0
661,Elizabeth Olsen,David vs. Goliath,31,Kitchen Staff,"Longview, TX",Vuku,Orange,1,Kalokalo,Blue,13,3,2,13,0,3,0,3,20,0
662,John Hennigan,David vs. Goliath,38,Professional Wrestler,"Los Angeles, CA",Jabeni,Purple,1,Kalokalo,Blue,12,3,2,3,0,5,0,3,20,0
663,Dan Rengering,David vs. Goliath,27,S.W.A.T Officer,"Gainesville, FL",Jabeni,Purple,1,Kalokalo,Blue,11,4,2,6,0,5,1,4,20,2
664,Alec Merlino,David vs. Goliath,24,Bartender,"San Clemente, CA",Jabeni,Purple,1,Kalokalo,Blue,10,6,3,9,0,4,1,6,20,0
665,Carl Boudreaux,David vs. Goliath,41,Truck Driver,"Houston, TX",Vuku,Orange,1,Kalokalo,Blue,9,6,3,6,0,3,0,6,20,1
666,Gabby Pascuzzi,David vs. Goliath,25,Techincal Writer,"Denver, CO",Vuku,Orange,1,Kalokalo,Blue,8,7,5,2,0,4,0,7,20,0
667,Christian Hubicki,David vs. Goliath,32,Robotics Scientist,"Tallahassee, FL",Vuku,Orange,1,Kalokalo,Blue,7,8,6,18,12,4,1,8,20,1
668,Davie Rickenbacker,David vs. Goliath,30,Social Media Manager,"Atlanta, GA",Vuku,Orange,1,Kalokalo,Blue,6,10,5,7,2,3,1,10,20,2
669,Alison Raybould,David vs. Goliath,28,Physician,"Chapel Hill, NC",Jabeni,Purple,1,Kalokalo,Blue,5,9,5,13,0,5,1,10,20,0
670,Kara Kay,David vs. Goliath,30,Realtor,"San Diego, CA",Jabeni,Purple,1,Kalokalo,Blue,4,11,7,0,0,4,1,12,20,
671,Angelina Keeley,David vs. Goliath,28,Financial Consultant,"San Clemente, CA",Jabeni,Purple,1,Kalokalo,Blue,3,12,8,6,2,3,0,13,20,
672,Mike White,David vs. Goliath,47,Filmmaker,"Los Angeles, CA",Jabeni,Purple,1,Kalokalo,Blue,2,12,9,1,0,3,1,13,20,
673,Nick Wilson,David vs. Goliath,27,Public Defender,"Williamsburg, KY",Vuku,Orange,1,Kalokalo,Blue,1,13,10,0,0,2,3,13,20,
674,Keith Sowell,Edge of Extinction,19,Pre-Med Student,"Durham, NC",Manu,Blue,0,No Merge,N/A,18,2,1,6,0,0,0,2,18,
675,Wendy Diaz,Edge of Extinction,25,Small Business Owner,"Bell, CA",Manu,Blue,1,No Merge,N/A,17,5,1,15,0,1,0,5,18,
676,Reem Daly,Edge of Extinction,46,Sales Representative,"Ashburn, VA",Manu,Blue,0,No Merge,N/A,16,1,0,4,0,0,0,1,18,
677,Aubry Bracco,Edge of Extinction,32,Returning Player,"Los Angeles, CA",Kama,Yellow,1,No Merge,N/A,15,1,0,4,0,4,0,1,18,
678,Joe Anglim,Edge of Extinction,29,Returning Player,"Ogden, UT",Kama,Yellow,1,Vata,Red,14,1,0,6,0,6,0,1,18,
679,Eric Hafemann,Edge of Extinction,35,Firefighter,"Livermore, CA",Kama,Yellow,1,Vata,Red,13,5,3,8,0,4,0,4,18,
680,Julia Carter,Edge of Extinction,25,Medical Assistant,"Bethesda, MD",Kama,Yellow,1,Vata,Red,12,3,2,9,0,6,0,3,18,
681,David Wright,Edge of Extinction,44,Returning Player,"Sherman Oaks, CA",Manu,Blue,1,Vata,Red,11,10,7,12,1,1,0,9,18,
682,Kelley Wentworth,Edge of Extinction,31,Returning Player,"Seattle, WA",Manu,Blue,1,Vata,Red,10,11,8,14,0,1,0,10,18,
683,Wardog DaSilva,Edge of Extinction,38,Law Student/Former Military,"Los Angeles, CA",Manu,Blue,1,Vata,Red,9,12,9,8,0,1,0,11,18,
684,Ron Clark,Edge of Extinction,46,Teacher,"Atlanta, GA",Kama,Yellow,1,Vata,Red,8,7,5,3,0,6,0,7,18,
685,Aurora McCreary,Edge of Extinction,32,Divorce Lawyer,"Orlando, FL",Kama,Yellow,1,Vata,Red,7,8,4,12,0,6,2,8,18,
686,Victoria Baamonde,Edge of Extinction,23,Waitress,"Bronx, NY",Kama,Yellow,1,Vata,Red,6,12,9,2,0,4,0,11,18,
687,Lauren O'Connell,Edge of Extinction,21,Student,"Waco, TX",Manu,Blue,1,Vata,Red,5,15,11,11,0,1,0,15,18,
688,Rick Devens,Edge of Extinction,34,Morning News Anchor,"Macon, GA",Manu,Blue,1,Vata,Red,4,14,8,12,0,0,4,15,18,
689,Julie Rosenburg,Edge of Extinction,46,Toymaker,"New York City, NY",Kama,Yellow,1,Vata,Red,3,10,6,1,7,6,2,11,18,
690,Gavin Whitson,Edge of Extinction,23,YMCA Program Director ,"Erwin, TN",Kama,Yellow,1,Vata,Red,2,14,10,0,0,4,2,13,18,
691,Chris Underwood,Edge of Extinction,25,District Sales Manager,"Greenville, SC",Manu,Blue,0,Vata,Red,1,5,4,9,4,0,1,6,18,
692,Ronnie Hardah,Island of the Idols,36,Professional Poker Player,"Henderson, NV",Lairo,Orange,0,No Merge,N/A,20,1,0,7,0,0,0,1,18,
693,Molly Byman,Island of the Idols,28,Law Student,"Durham, NC",Vokai,Purple,0,No Merge,N/A,19,1,0,7,0,1,0,1,18,
694,Vince Moua,Island of the Idols,27,Admissions Counselor,"Palo Alto, CA",Lairo,Orange,0,No Merge,N/A,18,2,1,7,0,1,0,2,18,
695,Chelsea Walker,Island of the Idols,27,Digital Content Creator,"Los Angeles, CA",Lairo,Orange,0,No Merge,N/A,17,3,2,6,0,1,0,3,18,
696,Tom Laidlaw,Island of the Idols,60,Former NHL Player,"Greenwich, CT",Lairo,Orange,1,No Merge,N/A,16,4,2,6,0,1,0,4,18,
697,Jason Linden,Island of the Idols,32,Personal Injury Lawyer,"New York City, NY",Vokai,Purple,1,No Merge,N/A,15,2,1,6,0,4,0,2,18,
698,Jack Nichting,Island of the Idols,23,Graduate Student,"Harrisonburg, VA",Vokai,Purple,1,No Merge,N/A,14,3,1,2,0,4,0,3,18,
699,Kellee Kim,Island of the Idols,29,MBA Student,"Philadelphia, PA",Vokai,Purple,1,Lumuwaku,Blue,13,4,2,8,0,4,0,4,18,
700,Jamal Shipman,Island of the Idols,33,College Administrator,"Providence, RI",Vokai,Purple,1,Lumuwaku,Blue,12,4,2,6,0,4,0,5,18,
701,Aaron Meredith,Island of the Idols,36,Gym Owner,"Warwick, RI",Lairo,Orange,1,Lumuwaku,Blue,11,7,4,5,0,3,2,7,18,
702,Missy Byrd,Island of the Idols,24,Air Force Veteran,"Tacoma, WA",Lairo,Orange,1,Lumuwaku,Blue,10,7,5,3,0,3,1,7,18,
703,Elizabeth Beisel,Island of the Idols,26,Olympic Medalist,"Saunderstown, RI",Lairo,Orange,1,Lumuwaku,Blue,9,7,4,8,0,3,0,8,18,
704,Karishma Patel,Island of the Idols,37,Personal Injury Lawyer,"Houston, TX",Lairo,Orange,1,Lumuwaku,Blue,8,11,6,22,7,2,0,10,18,
705,Elaine Stott,Island of the Idols,41,Factory Worker,"Rockholds, KY",Lairo,Orange,1,Lumuwaku,Blue,7,11,8,8,0,3,1,10,18,
706,Dan Spilo,Island of the Idols,48,Talent Manager,"Los Angeles, CA",Vokai,Purple,1,Lumuwaku,Blue,6,9,6,5,0,5,0,8,18,
707,Janet Carbin,Island of the Idols,59,Chief Lifeguard,"Palm Bay, FL",Vokai,Purple,1,Lumuwaku,Blue,5,10,5,8,2,4,0,10,18,
708,Lauren Beck,Island of the Idols,29,Nanny,"Glendale, CA",Vokai,Purple,1,Lumuwaku,Blue,4,10,7,1,0,5,1,10,18,
709,Noura Salman,Island of the Idols,36,Entrepreneur,"North Potomac, MD",Vokai,Purple,1,Lumuwaku,Blue,3,10,8,6,0,4,3,11,18,
710,Dean Kowalski,Island of the Idols,28,Tech Salesman,"New York City, NY",Lairo,Orange,1,Lumuwaku,Blue,2,13,9,5,5,2,2,13,18,
711,Tommy Sheehan,Island of the Idols,26,4th Grade Teacher,"Long Beach, NY",Vokai,Purple,1,Lumuwaku,Blue,1,10,8,2,0,5,0,10,18,
712,Sandra Diaz-Twine,Winners at War,44,Returning Winner,"Riverview, FL",Dakal,Red,1,No Merge,N/A,20,3,2,1,0,4,0,3,20,
713,Amber Mariano,Winners at War,40,Returning Winner,"Pensacola, FL",Dakal,Red,0,No Merge,N/A,19,1,0,6,0,1,0,1,20,
714,Danni Boatwright,Winners at War,43,Returning Winner,"Shawnee, KS",Sele,Blue,0,No Merge,N/A,18,2,1,8,0,1,0,2,20,
715,Ethan Zohn,Winners at War,45,Returning Winner,"Hillsborough, NH",Sele,Blue,0,No Merge,N/A,17,3,2,4,0,1,0,3,20,
716,Rob Mariano,Winners at War,43,Returning Winner,"Pensacola, FL",Sele,Blue,1,No Merge,N/A,16,4,2,4,0,2,0,4,20,
717,Parvati Shallow,Winners at War,36,Returning Winner,"Los Angeles, CA",Sele,Blue,1,No Merge,N/A,15,4,2,5,0,3,0,4,20,
718,Yul Kwon,Winners at War,44,Returning Winner,"Los Altos, CA",Dakal,Red,1,No Merge,N/A,14,4,3,3,0,4,0,4,20,
719,Wendell Holland,Winners at War,35,Returning Winner,"Philadelphia, PA",Dakal,Red,1,Koru,Gold,13,5,4,12,0,4,0,5,20,
720,Adam Klein,Winners at War,28,Returning Winner,"Los Angeles, CA",Sele,Blue,1,Koru,Gold,12,6,4,15,0,4,0,6,20,
721,Tyson Apostol,Winners at War,39,Returning Winner,"Mesa, AZ",Dakal,Red,0,Koru,Gold,11,5,3,12,0,3,0,5,20,
722,Sophie Clarke,Winners at War,29,Returning Winner,"Santa Monica, CA",Dakal,Red,1,Koru,Gold,10,7,4,6,0,5,0,7,20,
723,Kim Spradlin-Wolfe,Winners at War,36,Returning Winner,"San Antonio, TX",Dakal ,Red,1,Koru,Gold,9,8,4,9,0,5,1,8,20,
724,Jeremy Collins,Winners at War,41,Returning Winner,"Foxborough, MA",Sele,Blue,1,Koru,Gold,8,9,6,9,0,4,1,9,20,
725,Nick Wilson,Winners at War,28,Returning Winner,"Williamsburg, KY",Dakal,Red,1,Koru,Gold,7,11,8,8,0,4,1,11,20,
726,Denise Stapley,Winners at War,48,Returning Winner,"Marion, IA",Sele,Blue,1,Koru,Gold,6,11,6,14,6,4,2,12,20,
727,Ben Driebergen,Winners at War,36,Returning Winner,"Boise, ID",Sele,Blue,1,Koru,Gold,5,14,11,7,2,4,0,13,20,
728,Sarah Lacina,Winners at War,34,Returning Winner,"Cedar Rapids, IA",Dakal,Red,1,Koru,Gold,4,13,7,2,0,5,0,13,20,
729,Michele Fitzgerald,Winners at War,29,Returning Winner,"Hoboken, NJ",Sele,Blue,1,Koru,Gold,3,15,8,6,2,3,2,15,20,
730,Natalie Anderson ,Winners at War,33,Returning Winner,"Edgewater, NJ",Sele,Blue,0,Koru,Gold,2,4,2,11,4,0,1,4,20,
731,Tony Vlachos,Winners at War,45,Returning Winner,"Allendale, NJ",Dakal,Red,1,Koru,Gold,1,13,9,0,0,5,4,13,20,
732,Eric Abraham,Survivor 41,50,Cyber Security Analyst,"San Antonio, TX",Yase,Yellow,0,No Merge,N/A,18,1,0,5,0,0,0,1,18,
733,Sara Wilson,Survivor 41,23,Healthcare Consultant,"Boston, MA",Ua,Green,0,No Merge,N/A,17,1,0,4,0,0,0,1,18,
734,David Voce,Survivor 41,34,Neurosurgeon,"Chicago, IL",Yase,Yellow,0,No Merge,N/A,16,2,1,3,0,0,0,2,18,
735,Brad Reese,Survivor 41,49,Rancher,"Shawnee, WY",Ua,Green,0,No Merge,N/A,15,1,1,3,0,1,0,2,18,
736,JD Robinson,Survivor 41,20,College Student,"Oklahoma City, OK",Ua,Green,0,No Merge,N/A,14,3,2,4,0,1,0,3,18,
737,Genie Chen,Survivor 41,46,Grocery Clerk,"Portland, OR",Ua,Green,0,No Merge,N/A,13,4,1,3,0,1,0,4,18,
738,Sydney Segal,Survivor 41,25,Law Student,"Brooklyn, NY",Luvu,Blue,0,Viakana,Red,12,0,0,5,0,5,0,1,18,
739,Tiffany Seely,Survivor 41,47,Teacher,"Plainview, NY",Yase,Yellow,0,Viakana,Red,11,4,2,8,0,4,0,4,18,
740,Naseer Muttalif,Survivor 41,36,Sales Manager,"Morgan Hill, CA",Luvu,Blue,0,Viakana,Red,10,3,1,8,0,5,0,3,18,
741,Evvie Jagoda,Survivor 41,28,Ph.D. Student,"Arlington, MA",Yase,Yellow,0,Viakana,Red,9,5,2,7,0,3,1,5,18,
742,Shan Smith,Survivor 41,34,Pastor,"Washington, DC",Ua,Green,0,Viakana,Red,8,11,9,9,0,2,0,8,18,
743,Liana Wallace,Survivor 41,20,College Student,"Washington, DC",Yase,Yellow,0,Viakana,Red,7,7,5,10,0,4,0,7,18,
744,Danny McCray,Survivor 41,33,Ex-NFL Player,"Frisco, TX",Luvu,Blue,0,Viakana,Red,6,7,3,7,0,5,2,6,18,
745,Ricard Foyé,Survivor 41,31,Flight Attendant,"Sedro-Woolley, WA",Ua,Green,0,Viakana,Red,5,14,10,9,0,1,2,11,18,
746,Heather Aldret,Survivor 41,52,Stay-At-Home Mom,"Charleston, SC",Luvu,Blue,0,Viakana,Red,4,9,7,5,0,6,0,8,18,
747,Xander Hastings,Survivor 41,20,App Developer,"Chicago, IL",Yase,Yellow,0,Viakana,Red,3,11,6,2,0,4,2,10,18,
748,Deshawn Radden,Survivor 41,25,Medical Student,"Miami, FL",Luvu,Blue,0,Viakana,Red,2,9,6,7,0,5,0,8,18,
749,Erika Casupanan,Survivor 41,31,Communications Manager,"Toronto, ON",Luvu,Blue,0,Viakana,Red,1,10,9,2,0,6,2,9,18,
750,Jackson Fox,Survivor 42,47,Healthcare Worker,"Houston, TX",Taku,Orange,0,No Merge,N/A,18,0,0,0,0,0,0,0,18,
751,Zach Wurtenberger,Survivor 42,21,Student,"St. Louis, MO",Ika,Blue,0,No Merge,N/A,17,0,0,5,0,0,0,1,18,
752,Marya Sherron,Survivor 42,47,Stay-At-Home Mom,"Noblesville, IN",Taku,Orange,0,No Merge,N/A,16,0,0,4,0,1,0,1,18,
753,Jenny Kim,Survivor 42,42,Creative Director,"Brooklyn, NY",Vati,Green,0,No Merge,N/A,15,1,0,5,0,2,0,1,18,
754,Swati Goel,Survivor 42,19,Ivy League Student,"Palo Alto, CA",Ika,Blue,0,No Merge,N/A,14,1,1,3,0,2,0,2,18,
755,Daniel Strunk,Survivor 42,30,Law Clerk,"New Haven, CT",Vati,Green,0,No Merge,N/A,13,4,1,5,0,3,0,2,18,
756,Lydia Meredith,Survivor 42,21,Waitress,"Santa Monica, CA",Vati,Green,0,Kula Kula,Purple,12,4,3,9,0,3,0,3,18,
757,Chanelle Howell,Survivor 42,28,Executive Recruiter,"New York City, NY",Vati,Green,0,Kula Kula,Purple,11,3,0,9,0,4,0,4,18,
758,Rocksroy Bailey,Survivor 42,43,Stay-At-Home Dad,"Las Vegas, NV",Ika,Blue,0,Kula Kula,Purple,10,5,2,4,0,4,0,5,18,
759,Tori Meehan,Survivor 42,24,Therapist,"Rogers, AR",Ika,Blue,0,Kula Kula,Purple,9,4,3,5,0,3,2,5,18,
760,Hai Giang,Survivor 42,28,Data Scientist,"New Orleans, LA",Vati,Green,0,Kula Kula,Purple,8,9,8,7,0,3,1,6,18,
761,Drea Wheeler,Survivor 42,34,Fitness Consultant,"Montreal, QC",Ika,Blue,0,Kula Kula,Purple,7,8,6,5,0,4,0,7,18,
762,Omar Zaheer,Survivor 42,30,Veterinarian,"Whitby, ON",Taku,Orange,0,Kula Kula,Purple,6,6,4,3,0,5,0,7,18,
763,Lindsay Dolashewich,Survivor 42,30,Dietitian,"Asbury Park, NJ",Taku,Orange,0,Kula Kula,Purple,5,8,6,5,0,4,2,8,18,
764,Jonathan Young,Survivor 42,28,Beach Service Company Owner,"Gulf Shores, AL",Taku,Orange,0,Kula Kula,Purple,4,8,7,7,0,4,2,9,18,
765,Romeo Escobar,Survivor 42,37,Pageant Coach,"Norwalk, CA",Ika,Blue,0,Kula Kula,Purple,3,9,5,6,0,4,1,10,18,
766,Mike Turner,Survivor 42,57,Retired Firefighter,"Hoboken, NJ",Vati,Green,0,Kula Kula,Purple,2,9,7,4,0,4,1,10,18,
767,Maryanne Oketch,Survivor 42,23,Seminary Student,"Ajax, ON",Taku,Orange,0,Kula Kula,Purple,1,9,8,2,0,4,0,9,18,
768,Morriah Young,Survivor 43,28,Teacher,"Philadelphia, PA",Baka,Yellow,0,No Merge,N/A,18,1,0,5,0,0,0,1,18,
769,Justine Brennan,Survivor 43,29,Cyber Security Saleswoman,"Marina del Ray, CA",Vesi,Red,0,No Merge,N/A,17,1,0,3,0,1,0,1,18,
770,Nneka Ejere,Survivor 43,42,Pharmacist,"Weatherford, TX",Vesi,Red,0,No Merge,N/A,16,2,1,5,0,1,0,2,18,
771,Lindsay Carmine,Survivor 43,42,Pediatric Nurse,"Downingtown, PA",Coco,Blue,0,No Merge,N/A,15,1,0,4,0,3,0,1,18,
772,Geo Bustamante,Survivor 43,35,Project Manager,"Honolulu, HI",Coco,Blue,0,No Merge,N/A,14,2,0,4,0,3,0,2,18,
773,Elie Scott,Survivor 43,31,Clinical Psychologist,"Salt Lake City, UT",Baka,Yellow,0,Gaia,Turquiose,13,2,1,7,0,4,0,2,18,
774,Dwight Moore,Survivor 43,21,Graduate Student,"Collierville, TN",Vesi,Red,0,Gaia,Turquiose,12,3,2,7,0,4,0,4,18,
775,Jeanine Zheng,Survivor 43,24,UX Designer,"San Francisco, CA",Baka,Yellow,0,Gaia,Turquiose,11,3,1,9,0,5,0,4,18,
776,James Jones,Survivor 43,36,Event Planner,"Philadelphia, PA",Coco,Blue,0,Gaia,Turquiose,10,6,5,8,0,3,0,6,18,
777,Ryan Medrano,Survivor 43,24,Warehouse Associate,"El Paso, TX",Coco,Blue,0,Gaia,Turquiose,9,6,4,9,0,4,0,6,18,
778,Noelle Lambert,Survivor 43,25,U.S. Paralympian,"Manchester, NH",Vesi,Red,0,Gaia,Turquiose,8,8,5,6,0,4,0,7,18,
779,Sami Layadi,Survivor 43,19,Pet Cremator,"Las Vegas, NV",Baka,Yellow,0,Gaia,Turquiose,7,6,5,7,0,4,0,7,18,
780,Cody Assenmacher,Survivor 43,35,Elevator Salesman,"Honolulu, HI",Vesi,Red,0,Gaia,Turquiose,6,9,8,5,0,3,1,9,18,
781,Karla Cruz Godoy,Survivor 43,28,Educational Project Manager,"Newark, DE",Coco,Blue,0,Gaia,Turquiose,5,10,7,7,1,4,2,10,18,
782,Jesse Lopez,Survivor 43,30,Political Science Ph.D.,"Durham, NC",Vesi,Red,0,Gaia,Turquiose,4,9,9,1,1,4,0,11,18,
783,Owen Knight,Survivor 43,29,College Admissions Director,"New Orleans, LA",Baka,Yellow,0,Gaia,Turquiose,3,8,5,4,1,4,3,10,18,
784,Cassidy Clark,Survivor 43,26,Designer,"Austin, TX",Coco,Blue,0,Gaia,Turquiose,2,10,9,5,0,3,3,11,18,
785,Mike Gabler,Survivor 43,51,Heart Valve Specialist,"Meridian, ID",Baka,Yellow,0,Gaia,Turquiose,1,9,8,0,0,4,1,10,18,
786,Bruce Perreault,Survivor 44,45,Insurance Agent,"Warwick, RI",Tika,Purple,0,No Merge,N/A,18,0,0,0,0,0,0,0,18,
787,Maddy Pomilla,Survivor 44,28,Charity Projects Manager,"Brooklyn, NY",Ratu,Orange,0,No Merge,N/A,17,1,0,1,0,0,0,1,18,
788,Helen Li,Survivor 44,28,Product Manager,"San Francisco, CA",Tika,Purple,0,No Merge,N/A,16,1,0,3,0,1,0,1,18,
789,Claire Rafson,Survivor 44,25,Tech Investor,"Brooklyn, NY",Soka,Green,0,No Merge,N/A,15,0,0,4,0,2,0,1,18,
790,Sarah Wade,Survivor 44,26,Management Consultant,"Chicago, IL",Tika,Purple,1,No Merge,N/A,14,1,0,2,0,2,0,2,18,
791,Matthew Grinstead-Mayle,Survivor 44,43,Barbershop Owner,"Columbus, OH",Ratu,Orange,1,No Merge,N/A,13,1,0,0,0,4,0,1,18,
792,Josh Wilder,Survivor 44,34,Surgical Podiatrist,"Atlanta, GA",Soka,Green,1,Va Va,Black,12,3,2,9,2,2,0,3,18,
793,Matt Blankinship,Survivor 44,27,Security Software Engineer,"San Francisco, CA",Soka,Green,1,Va Va,Black,11,1,0,3,0,5,0,3,18,
794,Brandon Cottom,Survivor 44,29,Security Specialist,"Newtown, PA",Ratu,Orange,1,Va Va,Black,10,4,2,6,2,5,1,4,18,
795,Kane Fritzler,Survivor 44,24,Law Student,"Saskatoon, SK",Ratu,Orange,1,Va Va,Black,9,4,0,6,0,4,0,4,18,
796,Frannie Marin,Survivor 44,23,Research Coordinator,"Cambridge, MA",Soka,Green,1,Va Va,Black,8,5,3,11,6,5,2,5,18,
797,Danny Massa,Survivor 44,31,Firefighter,"Bronx, NY",Soka,Green,1,Va Va,Black,7,6,5,5,0,4,0,6,18,
798,Jaime Lynn Ruiz,Survivor 44,35,Yogi,"Mesa, AZ",Ratu,Orange,1,Va Va,Black,6,8,3,5,0,5,0,8,18,
799,Lauren Harpe,Survivor 44,30,Elementary School Teacher,"Mont Belvieu, TX",Ratu,Orange,1,Va Va,Black ,5,8,2,3,0,4,2,9,18,
800,Carson Garrett,Survivor 44,20,NASA Engineering Student,"Atlanta, GA",Tika,Purple,1,Va Va,Black,4,8,7,2,2,4,2,9,18,
801,Carolyn Wiger,Survivor 44,35,Drug Counselor,"Hugo, MN",Tika,Purple,1,Va Va,Black,3,9,7,3,0,3,0,10,18,
802,Heidi Lagares-Greenblatt,Survivor 44,42,Engineering Manager,"Pittsburgh, PA",Soka,Green,1,Va Va,Black,2,8,6,8,0,4,1,9,18,
803,Yam Yam Arocho,Survivor 44,35,Salon Owner,"San Juan, PR",Tika,Purple,1,Va Va,Black,1,10,7,6,0,2,1,11,18,
804,Hannah Rose,Survivor 45,32,Therapist,"Baltimore City, MD",Lulu,Yellow,0,No Merge,N/A,18,0,0,0,0,0,0,1,18,
805,Brandon Donlon,Survivor 45,25,Content Producer,"Sicklerville, NJ",Lulu,Yellow,0,No Merge,N/A,17,0,0,3,0,0,0,2,18,
806,Sabiyah Broderick,Survivor 45,27,Truck Driver,"Jacksonville, NC",Lulu,Yellow,0,No Merge,N/A,16,1,0,3,0,0,0,3,18,
807,Sean Edwards,Survivor 45,34,School Principal,"Provo-Orem, UT",Lulu,Yellow,1,No Merge,N/A,15,3,1,3,0,0,0,4,18,
808,Brando Meyer,Survivor 45,22,Software Developer,"Seattle, WA",Belo,Blue,1,No Merge,N/A,14,1,0,3,0,4,0,1,18,
809,J. Maya,Survivor 45,24,Singer,"Los Angeles, CA",Reba,Red,1,Dakuwaqa,Orange,13,3,1,10,0,4,0,2,18,
810,Sifu Alsup,Survivor 45,30,Gym Owner,"O'Fallen, IL",Reba,Red,1,Dakuwaqa,Orange,12,4,2,6,0,5,0,3,18,
811,Kaleb Gebrewold,Survivor 45,28,Software Salesman,"Vancouver, BC",Lulu,Yellow,1,Dakuwaqa,Orange,11,3,2,16,11,2,0,4,18,
812,Kellie Nalbandian,Survivor 45,29,Critical Care Nurse,"New York, NY",Belo,Blue,1,Dakuwaqa,Orange,10,4,2,5,0,5,1,3,18,
813,Kendra McQuarrie,Survivor 45,30,Bartender,"Steamboat Springs, CO",Belo,Blue,1,Dakuwaqa,Orange,9,6,2,6,0,5,0,5,18,
814,Bruce Perreault,Survivor 45,46,Returning Player,"Warwick, RI",Belo,Blue,1,Dakuwaqa,Orange,8,5,3,5,0,6,2,5,18,
815,Emily Flippen,Survivor 45,28,Investment Analyst,"Laurel, MD",Lulu,Yellow,1,Dakuwaqa,Orange,7,9,7,2,0,1,0,9,18,
816,Drew Basile,Survivor 45,22,Graduate Student,"Philadelphia, PA",Reba,Red,1,Dakuwaqa,Orange,6,9,5,6,0,5,1,8,18,
